ФИО;Дата рождения;Пол;Возраст;Дата приема на работу;Стаж;Оклад;Семейное положение;Кол-во детей;;
Алистратов А.А.;27.10.1975;м;46;08.09.1997;24;4000;женат;1;;
Анохин Н.И.;11.12.1948;м;73;23.05.1986;35;5000;разведен;1;;
Антонова И.П.;04.12.1951;ж;70;09.05.1988;33;4300;замужем;1;;
Артемова Г.А.;06.08.1979;ж;42;05.09.1997;24;4500;незамужем;;;
Афоничева Л.К.;09.01.1952;ж;70;05.10.1985;36;4900;замужем;1;;
Афоничева Л.В.;08.06.1978;ж;43;22.09.1998;23;3000;замужем;;;
Ахундов О.Т.;01.05.1967;м;54;23.05.1986;35;4400;холост;;;
Бегунова С.А.;20.05.1973;ж;48;11.09.1997;24;4400;замужем;1;;
Белорусец И.А.;04.11.1960;м;61;09.03.1989;32;4000;холост;;;
Бизюкова Г.П.;01.05.1957;ж;64;09.06.1985;36;4000;замужем;1;;
Булгаков Ю.В.;01.05.1957;м;64;09.06.1985;36;3000;женат;1;;
Быкова И.А.;12.01.1958;ж;64;25.07.1994;27;5600;замужем;2;;
Вантеева Л.В.;12.01.1958;ж;64;25.07.1994;27;4500;замужем;2;;
Варлаков В.Н.;23.10.1966;м;55;12.09.1995;26;5000;холост;;;
Васильева Е.Г.;09.01.1952;ж;70;05.10.1985;36;4900;замужем;1;;
Вуколова О.В.;14.02.1963;ж;58;01.11.1990;31;3500;замужем;2;;
Гаранина Г.П.;05.06.1965;ж;56;12.06.1985;36;3500;замужем;1;;
Гордеева Н.А.;16.11.1953;ж;68;05.03.1985;36;4100;замужем;;;
Гостев И.И.;22.11.1969;м;52;13.09.1996;25;6000;женат;2;;
Грачева О.Е.;13.05.1967;ж;54;14.09.2000;21;4500;замужем;;;
Гринченко М.В.;08.12.1954;м;67;06.09.1985;36;4300;женат;1;;
Гусева И.А.;06.06.1956;ж;65;09.12.1987;34;4900;разведена;1;;
Дзебоева Н.А.;20.08.1954;ж;67;09.12.1985;36;4600;замужем;2;;
Дмитриева З.Е.;22.09.1980;ж;41;09.05.1998;23;4700;незамужем;;;
Дробикова С.А.;11.07.1961;ж;60;21.03.1986;35;5600;замужем;1;;
Ежиков А.В.;14.02.1963;м;58;01.11.1990;31;6000;женат;4;;
Ермолаева Е.И.;01.05.1967;ж;54;23.05.1986;35;4300;незамужем;;;
Зайцев Б.П.;20.08.1959;м;62;05.10.1995;26;5000;женат;1;;
Зайцева Т.Н.;22.09.1980;ж;41;09.05.1998;23;3800;незамужем;;;
Захарова В.В.;24.06.1964;ж;57;15.09.1995;26;4300;замужем;2;;
Истратова Е.Н.;25.03.1964;ж;57;05.03.1985;36;3000;замужем;2;;
Кирюхин В.Н.;20.08.1954;м;67;09.12.1985;36;4900;женат;2;;
Ковалева М.Г.;20.08.1959;ж;62;05.10.1995;26;4500;замужем;1;;
Колганова В.В.;07.08.1951;ж;70;04.08.1980;41;4450;замужем;1;;
Колесников И.С.;25.03.1964;м;57;05.03.1985;36;6000;холост;;;
Конюхова Л.Н.;17.01.1951;ж;71;06.09.1985;36;3000;разведена;1;;
Корчагина О.С.;05.05.1967;ж;54;04.05.1984;37;4400;замужем;1;;
Курдина С.Х.;16.11.1953;ж;68;05.03.1985;36;4100;замужем;;;
Лазькова Л.В.;06.11.1978;ж;43;20.12.1992;29;4700;незамужем;;;
Ларшина Н.П.;06.12.1978;ж;43;08.08.1997;24;4000;незамужем;1;;
Леонова Е.И.;13.07.1947;ж;74;09.12.1990;31;3000;замужем;3;;
Леонтьев В.К.;06.01.1979;м;43;11.08.1990;31;2700;холост;;;
Локшин Я.С.;17.01.1961;м;61;06.09.1985;36;5000;женат;1;;
Львов Г.Н.;13.07.1947;м;74;09.12.1990;31;3000;женат;3;;
Малахов Г.И.;08.12.1954;м;67;06.09.1985;36;4300;женат;1;;
Марченко А.Н.;03.10.1936;м;85;04.08.1980;41;7000;женат;;;
Медведев Б.М.;24.04.1960;м;61;04.05.1994;27;5600;женат;3;;
Мельников А.С.;11.07.1961;м;60;21.03.1986;35;5400;разведен;1;;
Минаев Ю.В.;08.08.1956;м;65;09.12.1987;34;3000;холост;;;
Михайлова Т.В.;06.02.1954;ж;67;23.05.1995;26;3000;замужем;3;;
Моисеева В.Б.;07.08.1962;ж;59;04.09.1980;41;4450;замужем;2;;
Муленков Е.И.;09.11.1969;м;52;20.12.1992;29;4300;холост;1;;
Муравьева В.С.;03.10.1955;ж;66;04.08.1980;41;3000;незамужем;;;
Нарольская Т.С.;14.05.1962;ж;59;04.05.1994;27;4000;замужем;2;;
Носова Л.Г.;15.07.1974;ж;47;08.08.1997;24;4300;незамужем;;;
Овчинников А.М.;09.11.1969;м;52;20.12.1992;29;4300;женат;1;;
Петухова Т.Н.;06.03.1979;ж;42;08.10.1998;23;3500;незамужем;;;
Пименова О.Н.;01.09.1957;ж;64;11.08.1990;31;5600;замужем;3;;
Позднякова Т.И.;15.07.1974;ж;47;08.08.1997;24;4300;разведена;;;
Полибин А.А.;05.05.1967;м;54;04.05.1984;37;4400;женат;;;
Пономарева Л.А.;04.09.1945;ж;76;21.03.1986;35;4000;замужем;3;;
Реутенко Р.В.;06.11.1978;м;43;20.12.1992;29;4700;холост;;;
Родникова С.В.;01.09.1957;ж;64;11.08.1990;31;5600;замужем;1;;
Романова А.И.;12.12.1977;ж;44;08.08.1997;24;4000;незамужем;1;;
Романова З.В.;06.04.1974;ж;47;23.11.1998;23;4600;замужем;1;;
Рыбальский Г.Л.;12.10.1958;м;63;23.05.1995;26;5600;женат;2;;
Рыжов А.В.;12.10.1958;м;63;23.05.1995;26;5600;женат;2;;
Сарайкин В.Ф.;05.06.1965;м;56;12.06.1985;36;4900;женат;1;;
Сафронов В.В.;06.04.1979;м;42;08.10.1998;23;2400;холост;;;
Семенов М.П.;09.01.1970;м;52;11.08.1990;31;4700;женат;;;
Скворцов С.М.;06.04.1979;м;42;08.10.1998;23;3800;холост;;;
Смирнова И.В.;02.01.1948;ж;74;23.11.1985;36;5600;замужем;2;;
Соколова А.В.;02.01.1948;ж;74;23.11.1985;36;5600;разведена;2;;
Степина Т.И.;16.12.1976;ж;45;05.09.1997;24;3700;замужем;1;;
Страшнов Г.Г.;06.02.1954;м;67;23.05.1995;26;4500;женат;1;;
Сулдин В.Г.;11.03.1979;м;42;08.10.1998;23;3500;холост;;;
Сыроватский И.В.;25.04.1977;м;44;23.11.1998;23;4400;женат;1;;
Туровская Н.С.;08.05.1979;ж;42;05.09.1997;24;5600;незамужем;;;
Тяпкина Л.А.;06.06.1952;ж;69;08.10.1980;41;4000;замужем;;;
Укладчикова Н.И.;16.12.1976;ж;45;05.09.1997;24;3700;незамужем;;;
Устинов А.А.;31.03.1934;м;87;09.06.1985;36;4700;разведен;;;
Ушакова И.И.;06.05.1979;ж;42;05.09.1997;24;5600;незамужем;;;
Ушкаров Н.А.;13.11.1979;м;42;23.11.2001;20;4000;холост;;;
Федоров Д.М.;31.03.1932;м;89;09.06.1975;46;7700;женат;2;;
Федорова З.А.;02.04.1952;ж;69;23.09.1992;29;4600;замужем;;;
Федюшкина М.А.;02.04.1950;ж;71;25.07.1994;27;4600;замужем;1;;
Фетисов А.Н.;11.12.1948;м;73;23.05.1986;35;4000;женат;1;;
Филатова О.В.;21.01.1942;ж;80;01.11.1980;41;4600;замужем;;;
Харькова Л.В.;23.08.1980;ж;41;05.09.1997;24;4500;незамужем;;;
Хромова Л.В.;21.01.1937;ж;85;01.11.1980;41;4600;замужем;;;
Хромова Л.В.;07.08.1938;ж;83;12.06.1985;36;3000;замужем;1;;
Червякова Н.С.;06.06.1946;ж;75;08.10.1980;41;4000;замужем;;;
Чернов Е.В.;15.05.1972;м;49;06.09.2001;20;5500;женат;1;;
Чигрина А.Е.;29.07.1939;ж;82;09.12.1985;36;4500;замужем;1;;
Чиркина А.М.;07.08.1938;ж;83;12.06.1985;36;3000;замужем;1;;
Шафеева Н.К.;29.07.1939;ж;82;09.12.1985;36;4500;замужем;1;;
Шиманюк Н.И.;06.11.1979;м;42;23.11.1998;23;4000;холост;;;
Элиава Т.М.;19.05.1981;м;40;10.09.1997;24;3700;холост;;;
Якимова Н.М.;16.05.1973;ж;48;07.09.1999;22;3000;замужем;2;;
Яфарова Т.Н.;04.09.1945;ж;76;21.03.1986;35;4000;замужем;2;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
